ip_release_date,release_month
15/01/1959,31/12/1958
16/02/1959,31/01/1959
16/03/1959,28/02/1959
15/04/1959,31/03/1959
15/05/1959,30/04/1959
15/06/1959,31/05/1959
15/07/1959,30/06/1959
14/08/1959,31/07/1959
15/09/1959,31/08/1959
15/10/1959,30/09/1959
16/11/1959,31/10/1959
15/12/1959,30/11/1959
15/01/1960,31/12/1959
16/02/1960,31/01/1960
16/03/1960,29/02/1960
15/04/1960,31/03/1960
16/05/1960,30/04/1960
15/06/1960,31/05/1960
15/07/1960,30/06/1960
16/08/1960,31/07/1960
16/09/1960,31/08/1960
14/10/1960,30/09/1960
16/11/1960,31/10/1960
16/12/1960,30/11/1960
16/01/1961,31/12/1960
16/02/1961,31/01/1961
16/03/1961,28/02/1961
14/04/1961,31/03/1961
12/05/1961,30/04/1961
15/06/1961,31/05/1961
14/07/1961,30/06/1961
15/08/1961,31/07/1961
14/09/1961,31/08/1961
16/10/1961,30/09/1961
16/11/1961,31/10/1961
15/12/1961,30/11/1961
16/01/1962,31/12/1961
15/02/1962,31/01/1962
15/03/1962,28/02/1962
13/04/1962,31/03/1962
15/05/1962,30/04/1962
15/06/1962,31/05/1962
16/07/1962,30/06/1962
14/08/1962,31/07/1962
14/09/1962,31/08/1962
16/10/1962,30/09/1962
16/11/1962,31/10/1962
14/12/1962,30/11/1962
15/01/1963,31/12/1962
14/02/1963,31/01/1963
15/03/1963,28/02/1963
12/04/1963,31/03/1963
16/05/1963,30/04/1963
14/06/1963,31/05/1963
16/07/1963,30/06/1963
15/08/1963,31/07/1963
16/09/1963,31/08/1963
15/10/1963,30/09/1963
15/11/1963,31/10/1963
16/12/1963,30/11/1963
15/01/1964,31/12/1963
14/02/1964,31/01/1964
16/03/1964,29/02/1964
15/04/1964,31/03/1964
15/05/1964,30/04/1964
16/06/1964,31/05/1964
15/07/1964,30/06/1964
14/08/1964,31/07/1964
16/09/1964,31/08/1964
16/10/1964,30/09/1964
16/11/1964,31/10/1964
16/12/1964,30/11/1964
15/01/1965,31/12/1964
15/02/1965,31/01/1965
16/03/1965,28/02/1965
15/04/1965,31/03/1965
14/05/1965,30/04/1965
16/06/1965,31/05/1965
15/07/1965,30/06/1965
16/08/1965,31/07/1965
15/09/1965,31/08/1965
15/10/1965,30/09/1965
16/11/1965,31/10/1965
15/12/1965,30/11/1965
17/01/1966,31/12/1965
16/02/1966,31/01/1966
16/03/1966,28/02/1966
14/04/1966,31/03/1966
13/05/1966,30/04/1966
16/06/1966,31/05/1966
15/07/1966,30/06/1966
15/08/1966,31/07/1966
16/09/1966,31/08/1966
14/10/1966,30/09/1966
16/11/1966,31/10/1966
14/12/1966,30/11/1966
17/01/1967,31/12/1966
16/02/1967,31/01/1967
16/03/1967,28/02/1967
14/04/1967,31/03/1967
12/05/1967,30/04/1967
16/06/1967,31/05/1967
14/07/1967,30/06/1967
16/08/1967,31/07/1967
15/09/1967,31/08/1967
16/10/1967,30/09/1967
15/11/1967,31/10/1967
15/12/1967,30/11/1967
17/01/1968,31/12/1967
15/02/1968,31/01/1968
15/03/1968,29/02/1968
16/04/1968,31/03/1968
16/05/1968,30/04/1968
14/06/1968,31/05/1968
16/07/1968,30/06/1968
16/08/1968,31/07/1968
16/09/1968,31/08/1968
16/10/1968,30/09/1968
18/11/1968,31/10/1968
17/12/1968,30/11/1968
14/01/1969,31/12/1968
14/02/1969,31/01/1969
17/03/1969,28/02/1969
16/04/1969,31/03/1969
16/05/1969,30/04/1969
16/06/1969,31/05/1969
16/07/1969,30/06/1969
15/08/1969,31/07/1969
16/09/1969,31/08/1969
16/10/1969,30/09/1969
17/11/1969,31/10/1969
15/12/1969,30/11/1969
16/01/1970,31/12/1969
13/02/1970,31/01/1970
16/03/1970,28/02/1970
16/04/1970,31/03/1970
14/05/1970,30/04/1970
12/06/1970,31/05/1970
15/07/1970,30/06/1970
13/08/1970,31/07/1970
14/09/1970,31/08/1970
15/10/1970,30/09/1970
17/11/1970,31/10/1970
15/12/1970,30/11/1970
14/01/1971,31/12/1970
16/02/1971,31/01/1971
15/03/1971,28/02/1971
14/04/1971,31/03/1971
14/05/1971,30/04/1971
14/06/1971,31/05/1971
14/07/1971,30/06/1971
16/08/1971,31/07/1971
15/09/1971,31/08/1971
18/10/1971,30/09/1971
16/11/1971,31/10/1971
15/12/1971,30/11/1971
17/01/1972,31/12/1971
15/02/1972,31/01/1972
15/03/1972,29/02/1972
14/04/1972,31/03/1972
16/05/1972,30/04/1972
14/06/1972,31/05/1972
17/07/1972,30/06/1972
15/08/1972,31/07/1972
18/09/1972,31/08/1972
17/10/1972,30/09/1972
15/11/1972,31/10/1972
15/12/1972,30/11/1972
15/01/1973,31/12/1972
16/02/1973,31/01/1973
16/03/1973,28/02/1973
16/04/1973,31/03/1973
15/05/1973,30/04/1973
15/06/1973,31/05/1973
16/07/1973,30/06/1973
16/08/1973,31/07/1973
14/09/1973,31/08/1973
16/10/1973,30/09/1973
15/11/1973,31/10/1973
14/12/1973,30/11/1973
16/01/1974,31/12/1973
15/02/1974,31/01/1974
15/03/1974,28/02/1974
15/04/1974,31/03/1974
15/05/1974,30/04/1974
14/06/1974,31/05/1974
15/07/1974,30/06/1974
15/08/1974,31/07/1974
13/09/1974,31/08/1974
15/10/1974,30/09/1974
15/11/1974,31/10/1974
13/12/1974,30/11/1974
15/01/1975,31/12/1974
13/02/1975,31/01/1975
14/03/1975,28/02/1975
15/04/1975,31/03/1975
15/05/1975,30/04/1975
16/06/1975,31/05/1975
15/07/1975,30/06/1975
15/08/1975,31/07/1975
15/09/1975,31/08/1975
16/10/1975,30/09/1975
14/11/1975,31/10/1975
15/12/1975,30/11/1975
16/01/1976,31/12/1975
13/02/1976,31/01/1976
16/03/1976,29/02/1976
15/04/1976,31/03/1976
14/05/1976,30/04/1976
16/06/1976,31/05/1976
16/07/1976,30/06/1976
13/08/1976,31/07/1976
16/09/1976,31/08/1976
15/10/1976,30/09/1976
15/11/1976,31/10/1976
15/12/1976,30/11/1976
17/01/1977,31/12/1976
15/02/1977,31/01/1977
15/03/1977,28/02/1977
14/04/1977,31/03/1977
16/05/1977,30/04/1977
15/06/1977,31/05/1977
15/07/1977,30/06/1977
15/08/1977,31/07/1977
16/09/1977,31/08/1977
14/10/1977,30/09/1977
15/11/1977,31/10/1977
14/12/1977,30/11/1977
17/01/1978,31/12/1977
15/02/1978,31/01/1978
16/03/1978,28/02/1978
14/04/1978,31/03/1978
16/05/1978,30/04/1978
15/06/1978,31/05/1978
14/07/1978,30/06/1978
15/08/1978,31/07/1978
15/09/1978,31/08/1978
17/10/1978,30/09/1978
15/11/1978,31/10/1978
15/12/1978,30/11/1978
17/01/1979,31/12/1978
15/02/1979,31/01/1979
16/03/1979,28/02/1979
13/04/1979,31/03/1979
16/05/1979,30/04/1979
15/06/1979,31/05/1979
13/07/1979,30/06/1979
16/08/1979,31/07/1979
14/09/1979,31/08/1979
16/10/1979,30/09/1979
15/11/1979,31/10/1979
14/12/1979,30/11/1979
16/01/1980,31/12/1979
15/02/1980,31/01/1980
14/03/1980,29/02/1980
15/04/1980,31/03/1980
16/05/1980,30/04/1980
13/06/1980,31/05/1980
16/07/1980,30/06/1980
15/08/1980,31/07/1980
16/09/1980,31/08/1980
16/10/1980,30/09/1980
14/11/1980,31/10/1980
16/12/1980,30/11/1980
15/01/1981,31/12/1980
17/02/1981,31/01/1981
17/03/1981,28/02/1981
15/04/1981,31/03/1981
15/05/1981,30/04/1981
16/06/1981,31/05/1981
15/07/1981,30/06/1981
14/08/1981,31/07/1981
16/09/1981,31/08/1981
16/10/1981,30/09/1981
13/11/1981,31/10/1981
16/12/1981,30/11/1981
15/01/1982,31/12/1981
17/02/1982,31/01/1982
16/03/1982,28/02/1982
15/04/1982,31/03/1982
14/05/1982,30/04/1982
15/06/1982,31/05/1982
15/07/1982,30/06/1982
13/08/1982,31/07/1982
15/09/1982,31/08/1982
15/10/1982,30/09/1982
16/11/1982,31/10/1982
15/12/1982,30/11/1982
14/01/1983,31/12/1982
16/02/1983,31/01/1983
15/03/1983,28/02/1983
15/04/1983,31/03/1983
13/05/1983,30/04/1983
15/06/1983,31/05/1983
15/07/1983,30/06/1983
16/08/1983,31/07/1983
15/09/1983,31/08/1983
14/10/1983,30/09/1983
15/11/1983,31/10/1983
15/12/1983,30/11/1983
13/01/1984,31/12/1983
15/02/1984,31/01/1984
15/03/1984,29/02/1984
13/04/1984,31/03/1984
15/05/1984,30/04/1984
15/06/1984,31/05/1984
13/07/1984,30/06/1984
15/08/1984,31/07/1984
14/09/1984,31/08/1984
16/10/1984,30/09/1984
15/11/1984,31/10/1984
14/12/1984,30/11/1984
15/01/1985,31/12/1984
15/02/1985,31/01/1985
15/03/1985,28/02/1985
16/04/1985,31/03/1985
15/05/1985,30/04/1985
14/06/1985,31/05/1985
18/07/1985,30/06/1985
15/08/1985,31/07/1985
13/09/1985,31/08/1985
16/10/1985,30/09/1985
15/11/1985,31/10/1985
13/12/1985,30/11/1985
16/01/1986,31/12/1985
14/02/1986,31/01/1986
14/03/1986,28/02/1986
15/04/1986,31/03/1986
15/05/1986,30/04/1986
16/06/1986,31/05/1986
15/07/1986,30/06/1986
15/08/1986,31/07/1986
16/09/1986,31/08/1986
16/10/1986,30/09/1986
14/11/1986,31/10/1986
15/12/1986,30/11/1986
16/01/1987,31/12/1986
13/02/1987,31/01/1987
13/03/1987,28/02/1987
15/04/1987,31/03/1987
15/05/1987,30/04/1987
16/06/1987,31/05/1987
15/07/1987,30/06/1987
14/08/1987,31/07/1987
15/09/1987,31/08/1987
16/10/1987,30/09/1987
16/11/1987,31/10/1987
14/12/1987,30/11/1987
15/01/1988,31/12/1987
17/02/1988,31/01/1988
16/03/1988,29/02/1988
15/04/1988,31/03/1988
16/05/1988,30/04/1988
15/06/1988,31/05/1988
15/07/1988,30/06/1988
15/08/1988,31/07/1988
14/09/1988,31/08/1988
14/10/1988,30/09/1988
15/11/1988,31/10/1988
14/12/1988,30/11/1988
18/01/1989,31/12/1988
15/02/1989,31/01/1989
16/03/1989,28/02/1989
14/04/1989,31/03/1989
15/05/1989,30/04/1989
15/06/1989,31/05/1989
14/07/1989,30/06/1989
16/08/1989,31/07/1989
15/09/1989,31/08/1989
17/10/1989,30/09/1989
14/11/1989,31/10/1989
15/12/1989,30/11/1989
17/01/1990,31/12/1989
16/02/1990,31/01/1990
16/03/1990,28/02/1990
17/04/1990,31/03/1990
15/05/1990,30/04/1990
15/06/1990,31/05/1990
17/07/1990,30/06/1990
15/08/1990,31/07/1990
14/09/1990,31/08/1990
17/10/1990,30/09/1990
13/11/1990,31/10/1990
14/12/1990,30/11/1990
16/01/1991,31/12/1990
15/02/1991,31/01/1991
15/03/1991,28/02/1991
16/04/1991,31/03/1991
13/05/1991,30/04/1991
14/06/1991,31/05/1991
15/07/1991,30/06/1991
16/08/1991,31/07/1991
17/09/1991,31/08/1991
17/10/1991,30/09/1991
15/11/1991,31/10/1991
16/12/1991,30/11/1991
17/01/1992,31/12/1991
14/02/1992,31/01/1992
17/03/1992,29/02/1992
15/04/1992,31/03/1992
15/05/1992,30/04/1992
16/06/1992,31/05/1992
15/07/1992,30/06/1992
14/08/1992,31/07/1992
16/09/1992,31/08/1992
16/10/1992,30/09/1992
16/11/1992,31/10/1992
16/12/1992,30/11/1992
15/01/1993,31/12/1992
18/02/1993,31/01/1993
17/03/1993,28/02/1993
16/04/1993,31/03/1993
14/05/1993,30/04/1993
16/06/1993,31/05/1993
16/07/1993,30/06/1993
16/08/1993,31/07/1993
16/09/1993,31/08/1993
15/10/1993,30/09/1993
